term	n	Group	Umbrella
"""intracerebral haemorrhage, intraventricular"""	4	Intracranial haemorrhage	Cerebrovascular disease
"""intracerebral haemorrhage, multiple localized"""	1	Intracranial haemorrhage	Cerebrovascular disease
"""left sided intracerebral haemorrhage, unspecified"""	3	Intracranial haemorrhage	Cerebrovascular disease
"""right sided intracerebral haemorrhage, unspecified"""	3	Intracranial haemorrhage	Cerebrovascular disease
"""sequelae of stroke,not specfd as h'morrhage or infarction"""	3	Cerebral ischaemia	Cerebrovascular disease
"""stenosis, carotid artery"""	31	Cerebral ischaemia	Cerebrovascular disease
"""subacute confusional state, of cerebrovascular origin"""	2	Cerebrovascular disease	Cerebrovascular disease
"""subarachnoid haemorrh from intracranial artery, unspecif"""	2	Intracranial haemorrhage	Cerebrovascular disease
[d] dementia	759	Dementia unknown/unspecified/other	Dementia
[d] dementia in alzheimer's disease	72	Alzheimer's disease	Dementia
[d] dementia with lewy bodies	96	Lewy body dementia	Dementia
[d] vascular dementia	139	Vascular dementia	Dementia
[rfc] alzheimer's disease	10	Alzheimer's disease	Dementia
[rfc] cva	9	Cerebral ischaemia	Cerebrovascular disease
[rfc] dementia	10	Dementia unknown/unspecified/other	Dementia
[rfc] ischaemic attack	1	Cerebral ischaemia	Cerebrovascular disease
[rfc] stroke	126	Cerebral ischaemia	Cerebrovascular disease
[rfc] stroke/cva	7	Cerebral ischaemia	Cerebrovascular disease
[v]personal history of cerebrovascular accident (cva)	10	Cerebral ischaemia	Cerebrovascular disease
[v]personal history of stroke	18	Cerebral ischaemia	Cerebrovascular disease
[x] presenile dementia nos	15	Dementia unknown/unspecified/other	Dementia
[x] primary degenerative dementia nos	23	Dementia unknown/unspecified/other	Dementia
[x] senile dementia nos	752	Dementia unknown/unspecified/other	Dementia
"[x] senile dementia, depressed or paranoid type"	10	Dementia unknown/unspecified/other	Dementia
[x] unspecified dementia	3455	Dementia unknown/unspecified/other	Dementia
[x]alzheimer's dementia unspec	697	Alzheimer's disease	Dementia
[x]alzheimer's disease type 1	3	Alzheimer's disease	Dementia
[x]arteriosclerotic dementia	25	Cerebrovascular dementia	Dementia
[x]cereb infarct due unsp occlus/stenos precerebr arteries	6	Cerebral ischaemia	Cerebrovascular disease
[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	1	Cerebral ischaemia	Cerebrovascular disease
[x]cerebrovascular diseases	3	Cerebrovascular disease	Cerebrovascular disease
"[x]delirium not superimposed on dementia, so described"	7	Exclude	Exclude
[x]delirium superimposed on dementia	32	Dementia unknown/unspecified/other	Dementia
"[x]dementia in alzheimer's dis, atypical or mixed type"	1077	Alzheimer's disease	Dementia
[x]dementia in alzheimer's disease	3369	Alzheimer's disease	Dementia
[x]dementia in alzheimer's disease with early onset	62	Alzheimer's disease	Dementia
[x]dementia in alzheimer's disease with late onset	297	Alzheimer's disease	Dementia
"[x]dementia in alzheimer's disease, unspecified"	145	Alzheimer's disease	Dementia
[x]dementia in huntington's disease	37	Dementia unknown/unspecified/other	Dementia
[x]dementia in other diseases classified elsewhere	131	Dementia unknown/unspecified	Dementia
[x]dementia in other specified diseases classif elsewhere	16	Dementia unknown/unspecified	Dementia
[x]dementia in parkinson's disease	410	Parkinson's Disease	Parkinson's Disease
[x]dementia in pick's disease	26	Dementia unknown/unspecified/other	Dementia
"[x]intracerebral haemorrhage in hemisphere, unspecified"	1	Intracranial haemorrhage	Cerebrovascular disease
[x]lewy body dementia	679	Lewy body dementia	Dementia
[x]mixed cortical and subcortical vascular dementia	102	Vascular dementia	Dementia
[x]multi-infarct dementia	142	Vascular dementia	Dementia
[x]other alzheimer's disease	2	Alzheimer's disease	Dementia
[x]other cerebral infarction	32	Cerebral ischaemia	Cerebrovascular disease
[x]other intracerebral haemorrhage	2	Intracranial haemorrhage	Cerebrovascular disease
[x]other subarachnoid haemorrhage	2	Intracranial haemorrhage	Cerebrovascular disease
[x]other vascular dementia	15	Vascular dementia	Dementia
[x]other vascular syndroms/brain in cerebrovasculr diseases	10	Cerebral ischaemia	Cerebrovascular disease
[x]predominantly cortical dementia	1	Dementia unknown/unspecified/other	Dementia
"[x]presenile dementia,alzheimer's type"	6	Alzheimer's disease	Dementia
"[x]primary degen dementia of alzheimer's type, senile onset"	1	Alzheimer's disease	Dementia
"[x]primary degen dementia, alzheimer's type, presenile onset"	1	Alzheimer's disease	Dementia
"[x]senile dementia,alzheimer's type"	296	Alzheimer's disease	Dementia
"[x]subarachnoid haemorrh from intracranial artery, unspecif"	1	Intracranial haemorrhage	Cerebrovascular disease
[x]subarachnoid haemorrhage from other intracranial arteries	1	Intracranial haemorrhage	Cerebrovascular disease
[x]subcortical vascular dementia	34	Vascular dementia	Dementia
[x]vascular dementia	6065	Vascular dementia	Dementia
[x]vascular dementia of acute onset	19	Vascular dementia	Dementia
"[x]vascular dementia, unspecified"	196	Vascular dementia	Dementia
acute cerebrovascular insufficiency nos	1	Cerebral ischaemia	Cerebrovascular disease
"acute confusional state, of cerebrovascular origin"	6	Cerebral ischaemia	Cerebrovascular disease
admission to stroke unit	14	Cerebral ischaemia	Cerebrovascular disease
alzheimer's disease	6926	Alzheimer's disease	Dementia
alzheimer's disease with early onset	310	Alzheimer's disease	Dementia
alzheimer's disease with late onset	125	Alzheimer's disease	Dementia
antipsychotic drug therapy for dementia	7	Dementia unknown/unspecified/other	Dementia
arteriosclerotic dementia	692	Vascular dementia	Dementia
arteriosclerotic dementia nos	23	Vascular dementia	Dementia
arteriosclerotic dementia with delirium	7	Vascular dementia	Dementia
arteriosclerotic dementia with paranoia	24	Vascular dementia	Dementia
basal nucleus haemorrhage	3	Intracranial haemorrhage	Cerebrovascular disease
basilar artery occlusion	6	Cerebral ischaemia	Cerebrovascular disease
basilar artery syndrome	16	TIA	Cerebrovascular disease
brain stem stroke syndrome	65	Vascular syndromes of brain in cerebrovascular diseases··	Cerebrovascular disease
brainstem infarction	28	Cerebral ischaemia	Cerebrovascular disease
brainstem infarction nos	11	Cerebral ischaemia	Cerebrovascular disease
bulbar haemorrhage	1	Intracranial haemorrhage	Cerebrovascular disease
carotid artery disease	40	Cerebral ischaemia	Cerebrovascular disease
carotid artery doppler abnormal	222	Cerebral ischaemia	Cerebrovascular disease
carotid artery occlusion	235	Cerebral ischaemia	Cerebrovascular disease
carotid artery stenosis	538	Cerebral ischaemia	Cerebrovascular disease
carotid artery syndrome hemispheric	1	Cerebral ischaemia	Cerebrovascular disease
carotid endarterectomy and patch	94	Cerebral ischaemia	Cerebrovascular disease
central post-stroke pain	7	Cerebral ischaemia	Cerebrovascular disease
"cereb infarct due cerebral venous thrombosis, nonpyogenic"	2	Cerebral ischaemia	Cerebrovascular disease
cereb infarct due unsp occlus/stenos precerebr arteries	25	Cerebral ischaemia	Cerebrovascular disease
cerebellar haemorrhage	114	Intracranial haemorrhage	Cerebrovascular disease
cerebellar infarction	424	Cerebral ischaemia	Cerebrovascular disease
cerebellar stroke syndrome	114	Vascular syndromes of brain in cerebrovascular diseases  	Cerebrovascular disease
cerebral arterial occlusion	1541	Cerebral ischaemia	Cerebrovascular disease
cerebral degeneration due to cerebrovascular disease	1	Cerebral ischaemia	Cerebrovascular disease
cerebral degeneration due to multifocal leucoencephalopathy	3	Cerebral ischaemia	Cerebrovascular disease
cerebral degeneration in hunter's disease	1	Cerebral ischaemia	Cerebrovascular disease
cerebral degeneration nos	306	Cerebral ischaemia	Cerebrovascular disease
cerebral degenerations usually manifest in childhood	54	Cerebral ischaemia	Cerebrovascular disease
cerebral embolism	27	Cerebral ischaemia	Cerebrovascular disease
cerebral embolus	3	Cerebral ischaemia	Cerebrovascular disease
cerebral infarct due to thrombosis of precerebral arteries	62	Cerebral ischaemia	Cerebrovascular disease
cerebral infarction due to embolism of cerebral arteries	34	Cerebral ischaemia	Cerebrovascular disease
cerebral infarction due to embolism of precerebral arteries	11	Cerebral ischaemia	Cerebrovascular disease
cerebral infarction due to thrombosis of cerebral arteries	12	Cerebral ischaemia	Cerebrovascular disease
cerebral infarction nos	2208	Cerebral ischaemia	Cerebrovascular disease
cerebral thrombosis	231	Cerebral ischaemia	Cerebrovascular disease
cerebral venous thrombosis	9	Cerebral ischaemia	Cerebrovascular disease
cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	170	Cerebral ischaemia	Cerebrovascular disease
cerebrovascular accident care plan	17	Cerebral ischaemia	Cerebrovascular disease
cerebrovascular disease	7215	Cerebrovascular disease	Cerebrovascular disease
cerebrovascular disease management	1	Cerebrovascular disease	Cerebrovascular disease
cerebrovascular disease monitoring default	3	Cerebrovascular disease	Cerebrovascular disease
cerebrovascular disease nos	189	Cerebrovascular disease	Cerebrovascular disease
cerebrovascular system anomalies	1	Cerebrovascular disease	Cerebrovascular disease
cortical haemorrhage	7	Intracranial haemorrhage	Cerebrovascular disease
cva - cerebral artery occlusion	1579	Cerebral ischaemia	Cerebrovascular disease
cva - cerebrovascular accid due to intracerebral haemorrhage	652	Intracranial haemorrhage	Cerebrovascular disease
cva - cerebrovascular accident in the puerperium	1	Cerebral ischaemia	Cerebrovascular disease
cva - cerebrovascular accident unspecified	1488	Cerebral ischaemia	Cerebrovascular disease
cva unspecified	5743	Cerebral ischaemia	Cerebrovascular disease
delivery of rehabilitation for stroke	17	Cerebral ischaemia	Cerebrovascular disease
dementia care plan	2726	Dementia unknown/unspecified/other	Dementia
dementia confirmed	2	Dementia unknown/unspecified	Dementia
"dementia in alzheimer's dis, atypical or mixed type, other mixed symptoms"	11	Alzheimer's disease	Dementia
dementia in conditions ec	119	Dementia unknown/unspecified/other	Dementia
dementia link worker - mental health cpn	1	Dementia unknown/unspecified/other	Dementia
dementia monitoring	462	Dementia unknown/unspecified/other	Dementia
dementia monitoring administration	125	Dementia unknown/unspecified/other	Dementia
dementia monitoring first letter	1189	Dementia unknown/unspecified/other	Dementia
dementia monitoring in primary care	8	Dementia unknown/unspecified/other	Dementia
dementia monitoring in secondary care	4	Dementia unknown/unspecified/other	Dementia
dementia monitoring second letter	272	Dementia unknown/unspecified/other	Dementia
dementia monitoring third letter	149	Dementia unknown/unspecified/other	Dementia
dementia monitoring verbal invite	47	Dementia unknown/unspecified/other	Dementia
dementia review	215	Dementia unknown/unspecified/other	Dementia
dementia review with third party	10	Dementia unknown/unspecified/other	Dementia
dementia stage at diagnosis - early (mild)	5	Dementia unknown/unspecified/other	Dementia
dementia stage at diagnosis - late (severe)	2	Dementia unknown/unspecified/other	Dementia
dementia stage at diagnosis - mid (moderate)	4	Dementia unknown/unspecified/other	Dementia
did not attend dementia monitoring	1	Dementia unknown/unspecified/other	Dementia
discharge from community stroke service	2	Cerebral ischaemia	Cerebrovascular disease
drug-induced dementia	1	Dementia unknown/unspecified/other	Dementia
endarterectomy and patch repair of carotid artery	44	Cerebral ischaemia	Cerebrovascular disease
endarterectomy of carotid artery nec	356	Cerebral ischaemia	Cerebrovascular disease
evacuation of intracerebral haematoma nec	27	Intracranial haemorrhage	Cerebrovascular disease
excepted from stroke quality indicators: informed dissent	1243	Exclude	Exclude
excepted from stroke quality indicators: patient unsuitable	2655	Exclude	Exclude
exception reporting: stroke quality indicators	193	Exclude	Exclude
external capsule haemorrhage	1	Intracranial haemorrhage	Cerebrovascular disease
generalised ischaemic cerebrovascular disease nos	80	Cerebral ischaemia	Cerebrovascular disease
h/o: cerebrovascular disease	43	Cerebrovascular disease	Cerebrovascular disease
h/o: cva/stroke	929	Cerebral ischaemia	Cerebrovascular disease
h/o: dementia	880	Dementia unknown/unspecified/other	Dementia
h/o: stroke	349	Cerebral ischaemia	Cerebrovascular disease
h/o: stroke in last year	7	Cerebral ischaemia	Cerebrovascular disease
haemorrhagic stroke monitoring	24	Intracranial haemorrhage	Cerebrovascular disease
"hyperten, abnorm renal/liver funct, stroke, bled score"	298	Exclude	Exclude
infantile posthaemorrhagic hydrocephalus	2	Intracranial haemorrhage	Cerebrovascular disease
infarction - cerebral	181	Cerebral ischaemia	Cerebrovascular disease
infarction - precerebral	2	Cerebral ischaemia	Cerebrovascular disease
infarction of basal ganglia	91	Cerebral ischaemia	Cerebrovascular disease
insufficiency - basilar artery	39	Cerebral ischaemia	Cerebrovascular disease
intermittent cerebral ischaemia	9	Cerebral ischaemia	Cerebrovascular disease
internal capsule haemorrhage	15	Intracranial haemorrhage	Cerebrovascular disease
intracerebral (nontraumatic) haemorrhage of fet and newborn	1	Intracranial haemorrhage	Cerebrovascular disease
intracerebral haemorrhage	869	Intracranial haemorrhage	Cerebrovascular disease
intracerebral haemorrhage in fetus or newborn	1	Intracranial haemorrhage	Cerebrovascular disease
"intracerebral haemorrhage in hemisphere, unspecified"	3	Intracranial haemorrhage	Cerebrovascular disease
intracerebral haemorrhage nos	98	Intracranial haemorrhage	Cerebrovascular disease
"intracerebral haemorrhage, intraventricular"	12	Intracranial haemorrhage	Cerebrovascular disease
"intracerebral haemorrhage, multiple localized"	1	Intracranial haemorrhage	Cerebrovascular disease
intracranial haemorrhage nos	68	Intracranial haemorrhage	Cerebrovascular disease
intraventric (nontraumatic) haemorrhage grade 4 fet newborn	1	Intracranial haemorrhage	Cerebrovascular disease
jakob-creutzfeldt disease	3	Human prion disorders	Dementia
late effects of cerebrovascular disease	5	Cerebrovascular disease	Cerebrovascular disease
lateral medullary syndrome	11	Vascular syndromes of brain in cerebrovascular diseases  	Cerebrovascular disease
left sided cerebral infarction	405	Cerebral ischaemia	Cerebrovascular disease
left sided cva	706	Cerebral ischaemia	Cerebrovascular disease
"left sided intracerebral haemorrhage, unspecified"	6	Intracranial haemorrhage	Cerebrovascular disease
lobar cerebral haemorrhage	14	Intracranial haemorrhage	Cerebrovascular disease
local alzheimer's society involved	4	Alzheimer's disease	Dementia
middle cerebral artery syndrome	84	Vascular syndromes of brain in cerebrovascular diseases  	Cerebrovascular disease
"mixed cortical and subcortical vascular dementia, other mixed symptoms"	1	Vascular dementia	Dementia
"mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional"	1	Vascular dementia	Dementia
"mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive"	1	Vascular dementia	Dementia
"mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory"	1	Vascular dementia	Dementia
"mixed cortical and subcortical vascular dementia, without additional symptoms"	1	Vascular dementia	Dementia
multi infarct dementia	489	Vascular dementia	Dementia
occlusion and stenosis of middle cerebral artery	4	Cerebral ischaemia	Cerebrovascular disease
occlusion/stenosis cerebral arts not result cerebral infarct	1	Cerebral ischaemia	Cerebrovascular disease
occlusive stroke	2	Cerebral ischaemia	Cerebrovascular disease
other alcoholic dementia	53	Dementia unknown/unspecified/other	Dementia
other and unspecified intracranial haemorrhage	11	Intracranial haemorrhage	Cerebrovascular disease
other cerebral degeneration	2	Cerebral ischaemia	Cerebrovascular disease
other cerebral degeneration nos	1	Cerebral ischaemia	Cerebrovascular disease
other cerebral degenerations	8	Cerebral ischaemia	Cerebrovascular disease
other cerebral haemorrhage following injury nos	1	Intracranial haemorrhage	Cerebrovascular disease
other cerebrovascular disease	28	Cerebrovascular disease	Cerebrovascular disease
other cerebrovascular disease nos	7	Cerebrovascular disease	Cerebrovascular disease
other cerebrovascular disease os	3	Cerebrovascular disease	Cerebrovascular disease
other precerebral artery occlusion	2	Cerebral ischaemia	Cerebrovascular disease
other specified cerebrovascular anomaly	2	Cerebrovascular disease	Cerebrovascular disease
other specified cerebrovascular disease	5	Cerebrovascular disease	Cerebrovascular disease
other transient cerebral ischaemia	29	Cerebral ischaemia	Cerebrovascular disease
"other vascular dementia, other mixed symptoms"	1	Vascular dementia	Dementia
"other vascular dementia, other symptoms, predominantly delusional"	1	Vascular dementia	Dementia
"other vascular dementia, other symptoms, predominantly depressive"	1	Vascular dementia	Dementia
"other vascular dementia, other symptoms, predominantly hallucinatory"	1	Vascular dementia	Dementia
"other vascular dementia, without additional symptoms"	1	Vascular dementia	Dementia
person centred dementia support plan (scotland)	1	Dementia unknown/unspecified/other	Dementia
pontine haemorrhage	46	Intracranial haemorrhage	Cerebrovascular disease
posterior cerebral artery syndrome	22	Vascular syndromes of brain in cerebrovascular diseases 	Cerebrovascular disease
precerebral arterial occlusion	2	Cerebral ischaemia	Cerebrovascular disease
precerebral artery occlusion nos	2	Cerebral ischaemia	Cerebrovascular disease
presenile dementia	355	Dementia unknown/unspecified/other	Dementia
presenile dementia nos	34	Dementia unknown/unspecified/other	Dementia
presenile dementia with delirium	5	Dementia unknown/unspecified/other	Dementia
presenile dementia with depression	10	Dementia unknown/unspecified/other	Dementia
presenile dementia with paranoia	45	Dementia unknown/unspecified/other	Dementia
puerperal cerebrovascular disorder - delivered	1	Cerebrovascular disease	Cerebrovascular disease
puerperal cerebrovascular disorder unspecified	1	Cerebrovascular disease	Cerebrovascular disease
puerperal cerebrovascular disorder with antenatal comp	1	Cerebrovascular disease	Cerebrovascular disease
pure motor lacunar syndrome	21	Vascular syndromes of brain in cerebrovascular diseases 	Cerebrovascular disease
pure sensory lacunar syndrome	5	Vascular syndromes of brain in cerebrovascular diseases 	Cerebrovascular disease
ref multidisciplinary stroke function improvement declined	1	Cerebral ischaemia	Cerebrovascular disease
ref to multidisciplinary stroke function improvement service	5	Cerebral ischaemia	Cerebrovascular disease
refer to dementia care advisor	13	Dementia unknown/unspecified/other	Dementia
referral by stroke nurse specialist	2	Cerebral ischaemia	Cerebrovascular disease
referral to community stroke service	1	Cerebral ischaemia	Cerebrovascular disease
referral to dementia care advisor	144	Dementia unknown/unspecified/other	Dementia
referral to dementia early intervention service	11	Dementia unknown/unspecified/other	Dementia
referral to stroke rehabilitation service	3	Cerebral ischaemia	Cerebrovascular disease
right sided cerebral infarction	212	Cerebral ischaemia	Cerebrovascular disease
right sided cva	548	Cerebral ischaemia	Cerebrovascular disease
"right sided intracerebral haemorrhage, unspecified"	30	Intracranial haemorrhage	Cerebrovascular disease
ruptured berry aneurysm	16	Cerebral ischaemia	Cerebrovascular disease
senile dementia	3170	Dementia unknown/unspecified/other	Dementia
senile dementia with delirium	26	Dementia unknown/unspecified/other	Dementia
senile dementia with depression	167	Dementia unknown/unspecified/other	Dementia
senile dementia with depressive or paranoid features	30	Dementia unknown/unspecified/other	Dementia
senile dementia with depressive or paranoid features nos	7	Dementia unknown/unspecified/other	Dementia
senile dementia with paranoia	128	Dementia unknown/unspecified/other	Dementia
senile/presenile dementia	1943	Dementia unknown/unspecified/other	Dementia
sequelae of cerebral infarction	8	Cerebral ischaemia	Cerebrovascular disease
sequelae of intracerebral haemorrhage	3	Intracranial haemorrhage	Cerebrovascular disease
sequelae of other nontraumatic intracranial haemorrhage	7	Intracranial haemorrhage	Cerebrovascular disease
"sequelae of stroke,not specfd as h'morrhage or infarction"	4	Cerebral ischaemia	Cerebrovascular disease
sequelae of subarachnoid haemorrhage	2	Intracranial haemorrhage	Cerebrovascular disease
sequelae/other + unspecified cerebrovascular diseases	3	Cerebrovascular disease	Cerebrovascular disease
shared care prescribing of drugs for dementia	20	Dementia unknown/unspecified/other	Dementia
shared care prescribing of drugs for dementia declined	1	Dementia unknown/unspecified/other	Dementia
signposting to dementia support service	5	Dementia unknown/unspecified/other	Dementia
small vessel cerebrovascular disease	501	Cerebral ischaemia	Cerebrovascular disease
stenosis of precerebral arteries	1	Cerebral ischaemia	Cerebrovascular disease
"stenosis, carotid artery"	179	Cerebral ischaemia	Cerebrovascular disease
stroke / transient ischaemic attack referral	1769	Cerebral ischaemia	Cerebrovascular disease
stroke 6 month review	23	Cerebral ischaemia	Cerebrovascular disease
stroke and cerebrovascular accident unspecified	9840	Cerebral ischaemia	Cerebrovascular disease
stroke annual review	40	Cerebral ischaemia	Cerebrovascular disease
stroke due to cerebral arterial occlusion	610	Cerebral ischaemia	Cerebrovascular disease
stroke due to intracerebral haemorrhage	129	Intracranial haemorrhage	Cerebrovascular disease
stroke group member	4	Cerebral ischaemia	Cerebrovascular disease
stroke in the puerperium	1	Cerebral ischaemia	Cerebrovascular disease
stroke monitoring	6145	Cerebral ischaemia	Cerebrovascular disease
stroke monitoring invite 1	99	Cerebral ischaemia	Cerebrovascular disease
stroke monitoring invite 2	11	Cerebral ischaemia	Cerebrovascular disease
stroke monitoring invite 3	6	Cerebral ischaemia	Cerebrovascular disease
stroke self-management plan agreed	8	Cerebral ischaemia	Cerebrovascular disease
stroke unspecified	1037	Cerebral ischaemia	Cerebrovascular disease
stroke/cva annual review	4514	Cerebral ischaemia	Cerebrovascular disease
stroke/transient ischaemic attack monitoring administration	230	Cerebral ischaemia	Cerebrovascular disease
stroke/transient ischaemic attack monitoring first letter	5209	Cerebral ischaemia	Cerebrovascular disease
stroke/transient ischaemic attack monitoring second letter	1529	Cerebral ischaemia	Cerebrovascular disease
stroke/transient ischaemic attack monitoring third letter	777	Cerebral ischaemia	Cerebrovascular disease
stroke/transient ischaemic attack monitoring verbal invitati	115	Cerebral ischaemia	Cerebrovascular disease
"subacute confusional state, of cerebrovascular origin"	12	Cerebrovascular disease	Cerebrovascular disease
"subarachnoid haemorrh from intracranial artery, unspecif"	6	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage	1846	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage from anterior communicating artery	136	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage from basilar artery	10	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage from carotid siphon and bifurcation	1	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage from middle cerebral artery	14	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage from posterior communicating artery	3	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage from vertebral artery	1	Intracranial haemorrhage	Cerebrovascular disease
subarachnoid haemorrhage nos	48	Intracranial haemorrhage	Cerebrovascular disease
"subcortical vascular dementia, other mixed symptoms"	1	Vascular dementia	Dementia
"subcortical vascular dementia, other symptoms, predominantly delusional"	1	Vascular dementia	Dementia
"subcortical vascular dementia, other symptoms, predominantly depressive"	1	Vascular dementia	Dementia
"subcortical vascular dementia, other symptoms, predominantly hallucinatory"	1	Vascular dementia	Dementia
"subcortical vascular dementia, without additional symptoms"	1	Vascular dementia	Dementia
subdural haemorrhage - nontraumatic	47	Intracranial haemorrhage	Cerebrovascular disease
subdural haemorrhage nos	244	Intracranial haemorrhage	Cerebrovascular disease
suspected cerebrovascular disease	172	Cerebrovascular disease	Cerebrovascular disease
suspected stroke	5	Cerebral ischaemia	Cerebrovascular disease
suspected transient ischaemic attack	4	Cerebral ischaemia	Cerebrovascular disease
tia clinical management plan no longer in place	2	Cerebral ischaemia	Cerebrovascular disease
transient cerebral ischaemia	8074	Cerebral ischaemia	Cerebrovascular disease
transient cerebral ischaemia nos	271	Cerebral ischaemia	Cerebrovascular disease
transient ischaemic attack	11289	Cerebral ischaemia	Cerebrovascular disease
transient ischaemic attack clinical management plan	9	Cerebral ischaemia	Cerebrovascular disease
transient ischaemic attack monitoring	1	Cerebral ischaemia	Cerebrovascular disease
traumatic subdural haemorrhage	38	Intracranial haemorrhage	Cerebrovascular disease
uncomplicated arteriosclerotic dementia	2	Vascular dementia	Dementia
uncomplicated presenile dementia	1	Dementia unknown/unspecified/other	Dementia
uncomplicated senile dementia	1555	Dementia unknown/unspecified/other	Dementia
"unspecified dementia, other mixed symptoms"	14	Dementia unknown/unspecified/other	Dementia
"unspecified dementia, other symptoms, predominantly delusional"	1	Dementia unknown/unspecified/other	Dementia
"unspecified dementia, other symptoms, predominantly depressive"	1	Dementia unknown/unspecified/other	Dementia
"unspecified dementia, other symptoms, predominantly hallucinatory"	1	Dementia unknown/unspecified/other	Dementia
"unspecified dementia, without additional symptoms"	1	Dementia unknown/unspecified/other	Dementia
"vascular dementia of acute onset, other mixed symptoms"	1	Vascular dementia	Dementia
"vascular dementia of acute onset, other symptoms, predominantly delusional"	1	Vascular dementia	Dementia
"vascular dementia of acute onset, other symptoms, predominantly depressive"	1	Vascular dementia	Dementia
"vascular dementia of acute onset, other symptoms, predominantly hallucinatory"	1	Vascular dementia	Dementia
"vascular dementia of acute onset, without additional symptoms"	1	Vascular dementia	Dementia
"vascular dementia, unspecified, other mixed symptoms"	2	Vascular dementia	Dementia
"vascular dementia, unspecified, other symptoms, predominantly delusional"	1	Vascular dementia	Dementia
"vascular dementia, unspecified, other symptoms, predominantly depressive"	1	Vascular dementia	Dementia
"vascular dementia, unspecified, other symptoms, predominantly hallucinatory"	1	Vascular dementia	Dementia
"vascular dementia, unspecified, without additional symptoms"	5	Vascular dementia	Dementia
vascular parkinsonism	127	Parkinson's Disease	Parkinsonism other
vertebral artery occlusion	16	Cerebral ischaemia	Cerebrovascular disease
vertebral artery syndrome	11	Cerebral ischaemia	Cerebrovascular disease
vertebro-basilar artery syndrome	32	Cerebral ischaemia	Cerebrovascular disease
vertebro-basilar insufficiency	282	Cerebral ischaemia	Cerebrovascular disease
vertebrobasilar insufficiency	98	Cerebral ischaemia	Cerebrovascular disease
wallenberg syndrome	1	Vascular syndromes of brain in cerebrovascular diseases 	Cerebrovascular disease
"""cerebral palsy, not congenital or infantile, acute"""	5	Cerebral palsy	Cerebral palsy
[d]spastic gait	48	Spasticity	Spinal cord disorders 
[d]transient monoplegia nos	3	Paralytic symptoms	Paralysis
[d]transient paralysis of a limb	26	Paralytic symptoms	Paralysis
[rfc] cerebral palsy	13	Cerebral palsy	Cerebral palsy
[x]cerebral palsy and other paralytic syndromes	3	Cerebral palsy	Cerebral palsy
acute flaccid paralysis	1	Paralytic symptoms	Paralysis
acute radial nerve palsy	147	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
ataxic diplegic cerebral palsy	5	Cerebral palsy	Cerebral palsy
ataxic infantile cerebral palsy	4	Cerebral palsy	Cerebral palsy
athetoid cerebral palsy	51	Cerebral palsy	Cerebral palsy
brachial plexus palsy due to birth trauma	9	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
cauda equina injury without bony injury	2	Cauda equina syndrome	Spinal cord disorders 
cauda equina syndrome	628	Cauda equina syndrome	Spinal cord disorders 
cauda equina syndrome nos	26	Cauda equina syndrome	Spinal cord disorders 
cauda equina syndrome not affecting bladder	2	Cauda equina syndrome	Spinal cord disorders 
cauda equina syndrome with cord bladder	11	Cauda equina syndrome	Spinal cord disorders 
cerebral palsy	46	Cerebral palsy	Cerebral palsy
cerebral palsy nos	8	Cerebral palsy	Cerebral palsy
cerebral palsy with spastic diplegia	63	Cerebral palsy	Cerebral palsy
"cerebral palsy, not congenital or infantile, acute"	6	Cerebral palsy	Cerebral palsy
choreoathetoid cerebral palsy	1	Cerebral palsy	Cerebral palsy
closed injury cauda equina	3	Cauda equina syndrome	Spinal cord disorders 
congenital cerebral palsy	937	Cerebral palsy	Cerebral palsy
congenital cerebral palsy nos	92	Cerebral palsy	Cerebral palsy
congenital diplegia	17	Cerebral palsy	Cerebral palsy
congenital diplegia nos	6	Cerebral palsy	Cerebral palsy
congenital hemiplegia	38	Cerebral palsy	Cerebral palsy
congenital monoplegia	4	Cerebral palsy	Cerebral palsy
congenital paraplegia	2	Cerebral palsy	Cerebral palsy
congenital quadriplegia	10	Cerebral palsy	Cerebral palsy
congenital spastic cerebral palsy	11	Cerebral palsy	Cerebral palsy
correction of erb's palsy	3	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
diplegia of upper limbs	7	Paralytic symptoms	Paralysis
dyskinetic cerebral palsy	11	Cerebral palsy	Cerebral palsy
erb's palsy	32	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
erb-duchenne paralysis	2	Mononeuropathy	"Disorders of nerve root, plexus or peripheral nerves"
exercises for paralysis	2	Paralytic symptoms	Paralysis
