"","term","Group","Umbrella","OriginalReadCode","CleansedReadCode"
"288","epilepsy monitoring","Epilepsy","Epilepsy or seizures","667","667..00"
"289","epilepsy monitoring","Epilepsy","Epilepsy or seizures","PC0037",""
"290","epilepsy monitoring administration","Epilepsy","Epilepsy or seizures","EMISNQEP19",""
"291","epilepsy monitoring call first letter","Epilepsy","Epilepsy or seizures","9Of5","9Of5.00"
"292","epilepsy monitoring call first letter","Epilepsy","Epilepsy or seizures","EMISNQEP5",""
"293","epilepsy monitoring call second letter","Epilepsy","Epilepsy or seizures","9Of6","9Of6.00"
"294","epilepsy monitoring call second letter","Epilepsy","Epilepsy or seizures","EMISNQEP6",""
"295","epilepsy monitoring in primary care","Epilepsy","Epilepsy or seizures","EMISNQEP20",""
"296","epilepsy monitoring in secondary care","Epilepsy","Epilepsy or seizures","EMISNQEP21",""
"297","epilepsy monitoring nos","Epilepsy","Epilepsy or seizures","667Z","667Z.00"
"298","epilepsy monitoring telephone invite","Epilepsy","Epilepsy or seizures","9Of4","9Of4.00"
"299","epilepsy monitoring verbal invite","Epilepsy","Epilepsy or seizures","9Of3","9Of3.00"
"300","epilepsy nos","Epilepsy","Epilepsy or seizures","F25z","F25z.00"
"301","epilepsy prevents employment","Epilepsy","Epilepsy or seizures","667H","667H.00"
"302","epilepsy restricts employment","Epilepsy","Epilepsy or seizures","667G","667G.00"
"303","epilepsy severity","Epilepsy","Epilepsy or seizures","667N","667N.00"
"304","epilepsy treatment changed","Epilepsy","Epilepsy or seizures","6678","6678.00"
"305","epilepsy treatment compliance good","Epilepsy","Epilepsy or seizures","EMISNQEP23",""
"306","epilepsy treatment compliance poor","Epilepsy","Epilepsy or seizures","EMISNQEP24",""
"307","epilepsy treatment continued","Epilepsy","Epilepsy or seizures","EMISNQEP4",""
"308","epilepsy treatment started","Epilepsy","Epilepsy or seizures","6679","6679.00"
"309","epilepsy treatment stopped","Epilepsy","Epilepsy or seizures","667A","667A.00"
"310","epileptic absences","Epilepsy","Epilepsy or seizures","F2500-1","F250011"
"311","epileptic automatism","Epilepsy","Epilepsy or seizures","F2544","F254400"
"312","epileptic seizures - akinetic","Epilepsy","Epilepsy or seizures","F2503","F250300"
"313","epileptic seizures - atonic","Epilepsy","Epilepsy or seizures","F2502","F250200"
"314","epileptic seizures - clonic","Epilepsy","Epilepsy or seizures","F2512","F251200"
"315","epileptic seizures - myoclonic","Epilepsy","Epilepsy or seizures","F2513","F251300"
"316","epileptic seizures - tonic","Epilepsy","Epilepsy or seizures","F2514","F251400"
"317","erb-duchenne paralysis","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","Q2061-1","Q206111"
"318","erbs palsy","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","Q2061-2","Q206112"
"319","evacuation of intracerebral haematoma nec","Intracranial haemorrhage","Cerebrovascular disease","70043","7004300"
"320","exacerbation of multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F203","F203.00"
"321","excepted from stroke quality indicators: informed dissent","Exclude","Exclude","9h22","9h22.00"
"322","excepted from stroke quality indicators: patient unsuitable","Exclude","Exclude","9h21","9h21.00"
"323","exception reporting: epilepsy quality indicators","Epilepsy","Epilepsy or seizures","9h6","9h6..00"
"324","exception reporting: stroke quality indicators","Exclude","Exclude","9h2","9h2..00"
"325","exercises for paralysis","Paralytic symptoms","Paralysis","8E53","8E53.00"
"326","exercises for spasticity","Spasticity","Spinal cord disorders","8E54","8E54.00"
"327","external capsule haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G616","G616.00"
"328","extrapyramidal disease excluding parkinsons disease","Movement disorders","Movement disorders other","F13-1","F13..11"
"329","familial hypokalaemic periodic paralysis","Paralytic symptoms","Paralysis","F393-1","F393.11"
"330","familial periodic paralysis","Paralytic symptoms","Paralysis","F393","F393.00"
"331","fissured spine with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P102-1","P102.11"
"332","fit (in known epileptic) nos","Epilepsy","Epilepsy or seizures","F25z-1","F25z.11"
"333","flaccid hemiplegia","Paralytic symptoms","Paralysis","F220","F220.00"
"334","flaccid infantile cerebral palsy","Cerebral palsy","Cerebral palsy","F23y1","F23y100"
"335","flaccid paraplegia","Paralytic symptoms","Paralysis","F2410","F241000"
"336","flaccid tetraplegia","Paralytic symptoms","Paralysis","F2400","F240000"
"337","focal epilepsy","Epilepsy","Epilepsy or seizures","F2550-1","F255011"
"338","follow-up epilepsy assessment","Epilepsy","Epilepsy or seizures","6672","6672.00"
"339","follow-up epilepsy assessment","Epilepsy","Epilepsy or seizures","PC0677",""
"340","fragile x associated tremor ataxia syndrome","Ataxic disorders","Ataxic disorders","EMISNQFR20",""
"341","fragile x associated tremor ataxia syndrome","Ataxic disorders","Ataxic disorders","F1y0","F1y0.00"
"342","friedreichs ataxia","Ataxic disorders","Ataxic disorders","F140","F140.00"
"343","gelastic epilepsy","Epilepsy","Epilepsy or seizures","F25y1","F25y100"
"344","general paralysis of insane","Paralytic symptoms","Paralysis","A941-1","A941.11"
"345","generalised convulsive epilepsy","Epilepsy","Epilepsy or seizures","F251","F251.00"
"346","generalised convulsive epilepsy nos","Epilepsy","Epilepsy or seizures","F251z","F251z00"
"347","generalised ischaemic cerebrovascular disease nos","Cerebral ischaemia","Cerebrovascular disease","G671","G671.00"
"348","generalised ischaemic cerebrovascular disease nos","Cerebral ischaemia","Cerebrovascular disease","G671z","G671z00"
"349","generalised multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F202","F202.00"
"350","generalised nonconvulsive epilepsy","Epilepsy","Epilepsy or seizures","F250","F250.00"
"351","generalised nonconvulsive epilepsy nos","Epilepsy","Epilepsy or seizures","F250z","F250z00"
"352","generalised seizure","Epilepsy","Epilepsy or seizures","F25H","F25H.00"
"353","grand mal (major) epilepsy","Epilepsy","Epilepsy or seizures","F2510","F251000"
"354","grand mal seizure","Epilepsy","Epilepsy or seizures","F2516","F251600"
"355","grand mal status","Epilepsy","Epilepsy or seizures","F253","F253.00"
"356","gross motor function classification system cerebral palsy","Cerebral palsy","Cerebral palsy","38Gw","38Gw.00"
"357","h/o: cerebrovascular disease","Cerebrovascular disease","Cerebrovascular disease","1477","1477.00"
"358","h/o: cva/stroke","Cerebral ischaemia","Cerebrovascular disease","14A7","14A7.00"
"359","h/o: dementia","Dementia unknown/unspecified/other","Dementia","1461","1461.00"
"360","h/o: epilepsy","Epilepsy","Epilepsy or seizures","1473","1473.00"
"361","h/o: seizures","Epilepsy","Epilepsy or seizures","JHCHO1",""
"362","h/o: stroke","Cerebral ischaemia","Cerebrovascular disease","14A7-2","14A7.12"
"363","h/o: stroke in last year","Cerebral ischaemia","Cerebrovascular disease","14AK","14AK.00"
"364","haemorrhagic stroke monitoring","Intracranial haemorrhage","Cerebrovascular disease","662o","662o.00"
"365","hemiballismus","Chorea","Movement disorders other","F1350","F135000"
"366","hemiplegia","Paralytic symptoms","Paralysis","F22","F22..00"
"367","hemiplegia nos","Paralytic symptoms","Paralysis","F22z","F22z.00"
"368","hereditary spastic paraplegia","Spinal cord disorders","Spinal cord disorders","F141","F141.00"
"369","history of creutzfeldt-jakob disease","Human prion disorders","Dementia","JHCHI32",""
"370","history of parkinsons disease","Parkinson's Disease","Parkinson's Disease","147F","147F.00"
"371","history of suspected creutzfeldt-jakob disease","Human prion disorders","Dementia","JHCHI33",""
"372","honos-ld item 13 - seizures","Epilepsy","Epilepsy or seizures","EMISNQHO38",""
"373","huntingtons chorea","Huntington/Chorea","Movement disorders other","F134","F134.00"
"374","hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F115","F115.00"
"375","hydrocephalus with atresia of foramina of magendie+luschka","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P233-2","P233.12"
"376","hyperten, abnorm renal/liver funct, stroke, bled score","Exclude","Exclude","38G3","38G3.00"
"377","hyperten, abnorm renal/liver funct, stroke, bled score","Exclude","Exclude","38G3","38G3.00"
"378","hypertensive encephalopathy","Exclude","Exclude","G672","G672.00"
"379","hypsarrhythmia","Epilepsy","Epilepsy or seizures","F2560","F256000"
"380","hysterical paralysis","Paralytic symptoms","Paralysis","E2014","E201400"
"381","infantile cerebral palsy","Cerebral palsy","Cerebral palsy","F23-2","F23..12"
"382","infantile hemiplegia nos","Paralytic symptoms","Paralysis","F234","F234.00"
"383","infantile posthaemorrhagic hydrocephalus","Intracranial haemorrhage","Cerebrovascular disease","F117","F117.00"
"384","infantile spasms","Epilepsy","Epilepsy or seizures","F256","F256.00"
"385","infantile spasms nos","Epilepsy","Epilepsy or seizures","F256z","F256z00"
"386","infantile spinal muscular atrophy","Spinal muscular atrophy","Motor neuron diseases or related disorders","F150-1","F150.11"
"387","infarction - cerebral","Cerebral ischaemia","Cerebrovascular disease","G64-2","G64..12"
"388","infarction - precerebral","Cerebral ischaemia","Cerebrovascular disease","G63-1","G63..11"
"389","infarction of basal ganglia","Cerebral ischaemia","Cerebrovascular disease","G64z4","G64z400"
"390","initial epilepsy assessment","Epilepsy","Epilepsy or seizures","PC0676",""
"391","initial epilepsy assessment","Epilepsy","Epilepsy or seizures","6671","6671.00"
"392","insufficiency - basilar artery","Cerebral ischaemia","Cerebrovascular disease","G650-1","G650.11"
"393","intermittent cerebral ischaemia","Cerebral ischaemia","Cerebrovascular disease","G65z1","G65z100"
"394","internal capsule haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G611","G611.00"
"395","intracerebral (nontraumatic) haemorrhage of fet and newborn","Intracranial haemorrhage","Cerebrovascular disease","Q4170","Q417000"
"396","intracerebral haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G61","G61..00"
"397","intracerebral haemorrhage in fetus or newborn","Intracranial haemorrhage","Cerebrovascular disease","Q2000-1","Q200011"
"398","intracerebral haemorrhage in hemisphere, unspecified","Intracranial haemorrhage","Cerebrovascular disease","G61X","G61X.00"
"399","intracerebral haemorrhage in hemisphere, unspecified","Intracranial haemorrhage","Cerebrovascular disease","G61X","G61X.00"
"400","intracerebral haemorrhage nos","Intracranial haemorrhage","Cerebrovascular disease","G61z","G61z.00"
"401","intracerebral haemorrhage, intraventricular","Intracranial haemorrhage","Cerebrovascular disease","G617","G617.00"
"402","intracerebral haemorrhage, intraventricular","Intracranial haemorrhage","Cerebrovascular disease","G617","G617.00"
"403","intracerebral haemorrhage, multiple localized","Intracranial haemorrhage","Cerebrovascular disease","G618","G618.00"
"404","intracranial haemorrhage nos","Intracranial haemorrhage","Cerebrovascular disease","G62z","G62z.00"
"405","intraventric (nontraumatic) haemorrhage grade 4 fet newborn","Intracranial haemorrhage","Cerebrovascular disease","Q4114",""
"406","jacksonian, focal or motor epilepsy","Epilepsy","Epilepsy or seizures","F2550","F255000"
"407","jacksonian, focal or motor epilepsy","Epilepsy","Epilepsy or seizures","F2550","F255000"
"408","jakob-creutzfeldt disease","Human prion disorders","Dementia","A411","A411.00"
"409","juvenile absence epilepsy","Epilepsy","Epilepsy or seizures","F2504","F250400"
"410","juvenile myoclonic epilepsy","Epilepsy","Epilepsy or seizures","F25A","F25A.00"
"411","juvenile spinal muscular atrophy","Spinal muscular atrophy","Motor neuron diseases or related disorders","F1511-1","F151111"
"412","kojevnikovs epilepsy","Epilepsy","Epilepsy or seizures","F257","F257.00"
"413","late effects of cerebrovascular disease","Cerebrovascular disease","Cerebrovascular disease","G68","G68..00"
"414","lateral medullary syndrome","Vascular syndromes of brain in cerebrovascular diseases","Cerebrovascular disease","G64z1-1","G64z111"
"415","left hemiplegia","Paralytic symptoms","Paralysis","EGTONLE2",""
"416","left hemiplegia","Paralytic symptoms","Paralysis","F222","F222.00"
"417","left sided cerebral infarction","Cerebral ischaemia","Cerebrovascular disease","G64z2","G64z200"
"418","left sided cva","Cerebral ischaemia","Cerebrovascular disease","G667","G667.00"
"419","left sided intracerebral haemorrhage, unspecified","Intracranial haemorrhage","Cerebrovascular disease","G61X0","G61X000"
"420","left sided intracerebral haemorrhage, unspecified","Intracranial haemorrhage","Cerebrovascular disease","G61X0","G61X000"
"421","lennox-gastaut syndrome","Epilepsy","Epilepsy or seizures","F2505","F250500"
"422","lepiscopo operation for obstetric palsy","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","7L0D1-4","7L0D114"
"423","lightning spasms","Epilepsy","Epilepsy or seizures","F256-1","F256.11"
"424","limbic system epilepsy","Epilepsy","Epilepsy or seizures","F2543","F254300"
"425","lindop parkinsons assessment scale - bed mobility score","Parkinson's Disease","Parkinson's Disease","EMISNQLI69",""
"426","lindop parkinsons assessment scale - gait mobility score","Parkinson's Disease","Parkinson's Disease","EMISNQLI62",""
"427","lobar cerebral haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G619","G619.00"
"428","local alzheimers society involved","Alzheimer's disease","Dementia","EMISNQEX1",""
"429","locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset","Epilepsy","Epilepsy or seizures","F25y2","F25y200"
"430","locomotor ataxia","Ataxic disorders","Ataxic disorders","A940-1","A940.11"
"431","low pressure hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F1130-1","F113011"
"432","lower limb spasticity","Spasticity","Spinal cord disorders","2949","2949.00"
"433","lumbar disc prolapse with cauda equina compression","Cauda equina syndrome","Spinal cord disorders","N12C3","N12C300"
"434","lumbar spina bifida with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1003","P100300"
"435","lumbar spina bifida with hydrocephalus - closed","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1033","P103300"
"436","lumbar spina bifida with hydrocephalus - open","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P1023","P102300"
"437","lumbar spina bifida without hydrocephalus - closed","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1183","P118300"
"438","lumbar spina bifida without hydrocephalus - open","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1173","P117300"
"439","lumbar spina bifida without mention of hydrocephalus","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P1103","P110300"
"440","management of multiple sclerosis in early disease phase","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","8Cc1","8Cc1.00"
"441","management of multiple sclerosis in onset phase","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","8Cc0","8Cc0.00"
"442","management of multiple sclerosis in palliative phase","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","8Cc4","8Cc4.00"
"443","management of multiple sclerosis in stable disability phase","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","8Cc2","8Cc2.00"
"444","many seizures a day","Epilepsy","Epilepsy or seizures","667V","667V.00"
"445","maries cerebellar ataxia","Ataxic disorders","Ataxic disorders","F1420","F142000"
"446","massive muscular calcification associated with paraplegia","Paralytic symptoms","Paralysis","N2310-1","N231011"
"447","menstrual epilepsy","Epilepsy","Epilepsy or seizures","F25D","F25D.00"
"448","middle cerebral artery syndrome","Vascular syndromes of brain in cerebrovascular diseases","Cerebrovascular disease","G660","G660.00"
"449","mitochond encephalopathy, lact acidosis & strokelike episode","Exclude","Exclude","C3151","C315100"
"450","mixed cortical and subcortical vascular dementia, other mixed symptoms","Vascular dementia","Dementia","EMISICD10|F0134",""
"451","mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional","Vascular dementia","Dementia","EMISICD10|F0131",""
"452","mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive","Vascular dementia","Dementia","EMISICD10|F0133",""
"453","mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory","Vascular dementia","Dementia","EMISICD10|F0132",""
"454","mixed cortical and subcortical vascular dementia, without additional symptoms","Vascular dementia","Dementia","EMISICD10|F0130",""
"455","monoplegia of lower limb","Paralytic symptoms","Paralysis","F243","F243.00"
"456","monoplegia of upper limb","Paralytic symptoms","Paralysis","F244","F244.00"
"457","monoplegia unspecified","Paralytic symptoms","Paralysis","F245","F245.00"
"458","motor epilepsy","Epilepsy","Epilepsy or seizures","F2550-2","F255012"
"459","multi infarct dementia","Vascular dementia","Dementia","E004-1","E004.11"
"460","multiple sclerosis","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F20","F20..00"
"461","multiple sclerosis - personal health plan","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","EMISNQMU8",""
"462","multiple sclerosis - primary progressive","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","EMISNQMU11",""
"463","multiple sclerosis - relapsing remitting","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","EMISNQMU13",""
"464","multiple sclerosis - secondary progressive","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","EMISNQMU12",""
"465","multiple sclerosis care plan agreed","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","8CS1","8CS1.00"
"466","multiple sclerosis monitoring first letter","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","EMISNQMU21",""
"467","multiple sclerosis monitoring first letter","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","9mD0","9mD0.00"
"468","multiple sclerosis multidisciplinary review","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","666B","666B.00"
"469","multiple sclerosis nos","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F20z","F20z.00"
"470","multiple sclerosis of the brain stem","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F200","F200.00"
"471","multiple sclerosis of the spinal cord","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F201","F201.00"
"472","multiple sclerosis review","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","666A","666A.00"
"473","multiple system atrophy, cerebellar variant","Disorders of autonomic nervous system","Disorders of autonomic nervous system","F1740",""
"474","multiple system atrophy, parkinson variant","Disorders of autonomic nervous system","Disorders of autonomic nervous system","F1741",""
"475","myelocele with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P102-3","P102.13"
"476","myoclonic encephalopathy","Exclude","Exclude","F1322","F132200"
"477","myoclonic seizure","Epilepsy","Epilepsy or seizures","F132z-2","F132z12"
"478","neonatal myoclonic epilepsy","Epilepsy","Epilepsy or seizures","F2511","F251100"
"479","neuromyelitis optica","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F210","F210.00"
"480","neuropathy in association with hereditary ataxia","Ataxic disorders","Ataxic disorders","F365","F365.00"
"481","nocturnal epilepsy","Epilepsy","Epilepsy or seizures","PC0682",""
"482","nocturnal epilepsy","Epilepsy","Epilepsy or seizures","667B","667B.00"
"483","normal pressure hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F1130","F113000"
"484","o/e-festination-parkinson gait","Parkinson's Disease","Parkinson's Disease","2994","2994.00"
"485","o/e - diplegia","Paralytic symptoms","Paralysis","2837","2837.00"
"486","o/e - gait spastic","Spasticity","Spinal cord disorders","2992","2992.00"
"487","o/e - hemiplegia","Paralytic symptoms","Paralysis","2833","2833.00"
"488","o/e - monoplegia","Paralytic symptoms","Paralysis","2834","2834.00"
"489","o/e - paralysis","Paralytic symptoms","Paralysis","283","283..00"
"490","o/e - paralysis nos","Paralytic symptoms","Paralysis","283Z","283Z.00"
"491","o/e - paraplegia","Paralytic symptoms","Paralysis","2835","2835.00"
"492","o/e - parkinson posture","Parkinson's Disease","Parkinson's Disease","2987-1","2987.11"
"493","o/e - parkinsonian tremor","Parkinson's Disease","Parkinson's Disease","297A","297A.00"
"494","o/e - quadriplegia","Paralytic symptoms","Paralysis","2836","2836.00"
"495","o/e - spastic gait","Spasticity","Spinal cord disorders","2992-1","2992.11"
"496","o/e -parkinson flexion posture","Parkinson's Disease","Parkinson's Disease","2987","2987.00"
"497","occlusion and stenosis of middle cerebral artery","Cerebral ischaemia","Cerebrovascular disease","G6770","G677000"
"498","occlusion/stenosis cerebral arts not result cerebral infarct","Cerebral ischaemia","Cerebrovascular disease","G677","G677.00"
"499","occlusive stroke","Cerebral ischaemia","Cerebrovascular disease","ESCTOC3",""
"500","ohtahara syndrome","Epilepsy","Epilepsy or seizures","F259-1","F259.11"
"501","other alcoholic dementia","Dementia unknown/unspecified/other","Dementia","E012","E012.00"
"502","other and unspecified intracranial haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G62","G62..00"
"503","other central nervous system demyelinating diseases","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F21","F21..00"
"504","other cerebral degeneration","Cerebral ischaemia","Cerebrovascular disease","F11y","F11y.00"
"505","other cerebral degeneration nos","Cerebral ischaemia","Cerebrovascular disease","F11yz","F11yz00"
"506","other cerebral degenerations","Cerebral ischaemia","Cerebrovascular disease","F11","F11..00"
"507","other cerebral haemorrhage following injury nos","Intracranial haemorrhage","Cerebrovascular disease","S63z","S63z.00"
"508","other cerebral palsy","Cerebral palsy","Cerebral palsy","F2By","F2By.00"
"509","other cerebrovascular disease","Cerebrovascular disease","Cerebrovascular disease","G67","G67..00"
"510","other cerebrovascular disease nos","Cerebrovascular disease","Cerebrovascular disease","G67z","G67z.00"
"511","other cerebrovascular disease os","Cerebrovascular disease","Cerebrovascular disease","G67y","G67y.00"
"512","other choreas","Huntington/Chorea","Movement disorders other","F135","F135.00"
"513","other choreas nos","Huntington/Chorea","Movement disorders other","F135z","F135z00"
"514","other forms of epilepsy","Epilepsy","Epilepsy or seizures","F25y","F25y.00"
"515","other forms of epilepsy nos","Epilepsy","Epilepsy or seizures","F25yz","F25yz00"
"516","other infantile cerebral palsy nos","Cerebral palsy","Cerebral palsy","F23yz","F23yz00"
"517","other precerebral artery occlusion","Cerebral ischaemia","Cerebrovascular disease","G63y","G63y.00"
"518","other specified brachial plexus palsy due to birth trauma","Mononeuropathy","Disorders of nerve root, plexus or peripheral nerves","Q206y","Q206y00"
"519","other specified central nervous system demyelinating disease","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F21y","F21y.00"
"520","other specified central nervous system demyelination nos","Multiple sclerosis or other white matter disorders","Multiple sclerosis or other white matter disorders","F21yz","F21yz00"
"521","other specified cerebrovascular anomaly","Cerebrovascular disease","Cerebrovascular disease","P7y0y","P7y0y00"
"522","other specified cerebrovascular disease","Cerebrovascular disease","Cerebrovascular disease","G6y","G6y..00"
"523","other specified generalised convulsive epilepsy","Epilepsy","Epilepsy or seizures","F251y","F251y00"
"524","other specified generalised nonconvulsive epilepsy","Epilepsy","Epilepsy or seizures","F250y","F250y00"
"525","other specified spina bifida with hydrocephalus","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","P10y","P10y.00"
"526","other specified spina bifida without hydrocephalus","Spina bifida","Structural developmental anomalies or disorders of CSF fluid pressure","P11y","P11y.00"
"527","other spinocerebellar disease nos","Ataxic disorders","Ataxic disorders","F14yz","F14yz00"
"528","other spinocerebellar diseases","Ataxic disorders","Ataxic disorders","F14y","F14y.00"
"529","other transient cerebral ischaemia","Cerebral ischaemia","Cerebrovascular disease","G65y","G65y.00"
"530","other vascular dementia, other mixed symptoms","Vascular dementia","Dementia","EMISICD10|F0184",""
"531","other vascular dementia, other symptoms, predominantly delusional","Vascular dementia","Dementia","EMISICD10|F0181",""
"532","other vascular dementia, other symptoms, predominantly depressive","Vascular dementia","Dementia","EMISICD10|F0183",""
"533","other vascular dementia, other symptoms, predominantly hallucinatory","Vascular dementia","Dementia","EMISICD10|F0182",""
"534","other vascular dementia, without additional symptoms","Vascular dementia","Dementia","EMISICD10|F0180",""
"535","otohara syndrome","Epilepsy","Epilepsy or seizures","F2511-1","F251111"
"536","panayiotopoulos syndrome","Epilepsy","Epilepsy or seizures","F25y5","F25y500"
"537","paralysis agitans","Parkinson's Disease","Parkinson's Disease","F120","F120.00"
"538","paralysis following electric shock","Paralytic symptoms","Paralysis","SN481-1","SN48111"
"539","paralysis following electric shock","Paralytic symptoms","Paralysis","SN481-2","SN48112"
"540","paralysis nos","Paralytic symptoms","Paralysis","F24z","F24z.00"
"541","paralysis present","Paralytic symptoms","Paralysis","1B33","1B33.00"
"542","paraplegia","Paralytic symptoms","Paralysis","F241","F241.00"
"543","paraplegia - congenital","Paralytic symptoms","Paralysis","F230-1","F230.11"
"544","parkinsonism secondary to drugs","Parkinson's Disease","Parkinsonism other","F121","F121.00"
"545","parkinsonism with orthostatic hypotension","Parkinson's Disease","Parkinsonism other","F1303","F130300"
"546","parkinsons disease","Parkinson's Disease","Parkinson's Disease","F12","F12..00"
"547","parkinsons disease nos","Parkinson's Disease","Parkinson's Disease","F12z","F12z.00"
"548","paroxysmal choreo-athetosis","Dystonic disorders","Movement disorders other","F1351","F135100"
"549","partial epilepsy","Epilepsy","Epilepsy or seizures","EMISR4QPA1",""
"550","partial epilepsy with autonomic symptoms","Epilepsy","Epilepsy or seizures","F2553-1","F255311"
"551","partial epilepsy with impairment of consciousness","Epilepsy","Epilepsy or seizures","F254","F254.00"
"552","partial epilepsy with impairment of consciousness nos","Epilepsy","Epilepsy or seizures","F254z","F254z00"
"553","partial epilepsy without impairment of consciousness","Epilepsy","Epilepsy or seizures","F255","F255.00"
"554","partial epilepsy without impairment of consciousness nos","Epilepsy","Epilepsy or seizures","F255z","F255z00"
"555","partial epilepsy without impairment of consciousness os","Epilepsy","Epilepsy or seizures","F255y","F255y00"
"556","peroneal muscular atrophy","Hereditary neuropathy","Disorders of nerve root, plexus or peripheral nerves","F361","F361.00"
"557","person centred dementia support plan (scotland)","Dementia unknown/unspecified/other","Dementia","EMISNQPE63",""
"558","petit mal (minor) epilepsy","Epilepsy","Epilepsy or seizures","F2500","F250000"
"559","petit mal status","Epilepsy","Epilepsy or seizures","F252","F252.00"
"560","photosensitive epilepsy","Epilepsy","Epilepsy or seizures","F25F","F25F.00"
"561","polyneuropathy in beriberi","Polyneuropathy","Disorders of nerve root, plexus or peripheral nerves","F3741","F374100"
"562","pontine haemorrhage","Intracranial haemorrhage","Cerebrovascular disease","G614","G614.00"
"563","post-ictal state","Epilepsy","Epilepsy or seizures","F258","F258.00"
"564","post-traumatic hydrocephalus, unspecified","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F11X","F11X.00"
"565","post-traumatic hydrocephalus, unspecified","Hydrocephalus","Structural developmental anomalies or disorders of CSF fluid pressure","F11X","F11X.00"
"566","postencephalitic parkinsonism","Parkinson's Disease","Parkinsonism other","F123","F123.00"
"567","posterior cerebral artery syndrome","Vascular syndromes of brain in cerebrovascular diseases","Cerebrovascular disease","G662","G662.00"
"568","pre-conception advice for patients with epilepsy","Epilepsy","Epilepsy or seizures","67IJ0","67IJ000"
"569","pre-conception advice for patients with epilepsy declined","Epilepsy","Epilepsy or seizures","8IAh","8IAh.00"
"570","precerebral arterial occlusion","Cerebral ischaemia","Cerebrovascular disease","G63","G63..00"
"571","precerebral artery occlusion nos","Cerebral ischaemia","Cerebrovascular disease","G63z","G63z.00"
"572","pregnancy advice for patients with epilepsy","Epilepsy","Epilepsy or seizures","67AF","67AF.00"
"573","pregnancy advice for patients with epilepsy declined","Epilepsy","Epilepsy or seizures","8IAi","8IAi.00"
"574","presenile dementia","Dementia unknown/unspecified/other","Dementia","E001","E001.00"
"575","presenile dementia nos","Dementia unknown/unspecified/other","Dementia","E001z","E001z00"
"576","presenile dementia with delirium","Dementia unknown/unspecified/other","Dementia","E0011","E001100"
"577","presenile dementia with depression","Dementia unknown/unspecified/other","Dementia","E0013","E001300"
